Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TBR,Rays,149.35,584.141,636.073,156.527,92.4916,27.2351,0.633688,36.1666,81.9507,104.953,41.5342,2.19267,124.079,4.65575,5.15519,0.58668,13.1977,4.87754,1.77972,0.267961,0.318995,0.502497,0.821492,0.348919,0.0652979,0.195071,0.33474,0.234536,3.05033,0.280527,,,93.678,18.5211,-0.39,-0.654374,-0.654374,4.15156,17.35207426548004,1.3325227499008179,124.019,862.5,5.788590604,862.5,5.788590604,16.540000915527344,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
TEX,Rangers,142.531,533.039,613.384,133.37,77.9948,27.2974,3.07073,25.0067,86.7097,74.3305,69.7725,2.63348,144.069,6.30816,3.71045,0.553509,7.86531,19.8444,5.32612,0.250206,0.341775,0.453679,0.795454,0.343813,0.11375,0.234876,0.484299,0.203473,5.80761,0.294726,,,87.7937,15.3176,5.51,0.787974,0.787974,4.09859,17.26316511631012,1.6846914291381836,122.789,794.2,5.553846153,794.2,5.553846153,38.560001373291016,0.0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
BAL,Orioles,137.712,489.234,559.479,122.565,79.3899,24.389,1.2195,17.567,66.3394,64.2436,60.7991,1.83286,89.6855,3.83673,4.98018,0.62904,10.8491,1.05643,0.368207,0.250525,0.334976,0.413083,0.748059,0.326482,0.108671,0.160302,0.677914,0.162558,2.49679,0.27134,,,72.2059,6.09912,5.56,-0.878212,-0.878212,3.79115,6.302424848079681,11.495862007141113,110.889,641.2,4.646376811,641.2,4.646376811,149.30999755859375,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
LAA,Angels,148.061,567.393,633.931,141.084,83.7461,28.8488,2.15621,26.3331,85.2357,75.4118,43.3777,2.8259,158.33,16.0492,3.8822,3.22905,8.41131,26.9273,8.15081,0.248654,0.317917,0.446331,0.764248,0.329229,0.0684265,0.249759,0.27397,0.197677,5.87216,0.296812,,,83.2285,8.32463,-1.66,1.12104,1.12104,3.65514,8.711653470993042,5.1946762800216675,110.159,768.4,5.191891891,768.4,5.191891891,31.739999771118164,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
HOU,Astros,136.865,538.073,589.806,146.69,100.548,27.6722,2.02483,16.4447,76.0114,65.2121,34.1924,0.747526,105.79,10.0059,3.92633,2.21003,12.8245,16.4796,3.96954,0.272621,0.325638,0.423262,0.7489,0.325278,0.0579723,0.179365,0.323209,0.150641,5.33478,0.310282,,,75.5434,5.85324,-0.37,0.719693,0.719693,3.41473,7.108948826789856,5.966342806816101,109.191,679.4,4.959124087,679.4,4.959124087,121.81999969482422,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
ATH,Athletics,128.19,477.256,525.121,121.982,66.7012,25.3873,1.48197,28.4116,70.7797,76.3069,39.0598,1.11243,121.142,4.09885,3.96522,0.741262,7.31017,5.95035,1.76879,0.255591,0.314926,0.493589,0.808515,0.344136,0.0743824,0.230694,0.322429,0.237998,4.1834,0.282121,,,75.2982,13.2511,-3.75,-0.252196,-0.252196,3.37145,11.375096410512924,3.503549575805664,118.787,682.4,5.33125,682.4,5.33125,54.310001373291016,0.12903226,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
NYY,Yankees,139.8,518.678,584.601,121.091,71.2679,20.577,2.669,26.5772,84.7861,68.0782,55.8527,1.96137,158.298,4.82645,3.99667,1.24734,7.89082,31.1978,8.21663,0.233461,0.311595,0.437145,0.748741,0.322978,0.0955399,0.27078,0.352832,0.203684,6.47307,0.279793,,,73.7847,4.70958,1.82,2.01658,2.01658,3.22654,7.638399839401245,3.7767183780670166,108.159,709.9,5.070714285,709.9,5.070714285,19.610000610351562,0.0,2B/OF,/players/jazz-chisholm-jr/20454/stats/batting,9,AL,Jazz Chisholm Jr.,665862,20454,20454
MIN,Twins,121.722,470.539,524.543,117.419,60.4933,27.8564,2.08225,26.9874,75.1053,74.1343,41.5959,1.94217,144.83,8.51869,3.3508,0.538907,5.36269,14.4998,3.32199,0.249542,0.319719,0.489657,0.809376,0.344997,0.0792993,0.276106,0.287205,0.240115,5.72095,0.299372,,,75.5823,13.6035,-0.26,0.822177,0.822177,3.22247,14.078089535236359,-0.6356852352619171,121.442,701.8,5.752459016,701.8,5.752459016,73.19999694824219,0.06349206,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
BAL,Orioles,152.712,574.55,655.282,144.104,80.5234,26.3153,0.0,37.2653,87.4303,99.2846,62.569,4.08074,153.947,12.5489,5.01558,0.598754,11.3881,2.62299,1.07896,0.250812,0.334852,0.491194,0.826046,0.352644,0.0954841,0.234932,0.406433,0.240382,2.39976,0.275107,,,98.4891,21.0625,-0.43,-0.917809,-0.917809,3.18895,21.411365151405334,-12.796426475048065,128.912,885.5,5.787581699,885.5,5.787581699,24.399999618530273,0.01234568,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
BOS,Red Sox,140.529,529.359,609.576,140.386,88.0506,30.568,2.35018,19.4175,80.3305,73.18,71.3374,1.4199,147.626,4.69658,3.5064,0.676067,12.825,9.83222,2.82513,0.2652,0.355428,0.441868,0.797296,0.347319,0.117028,0.242179,0.48323,0.176668,4.61876,0.330676,,,88.984,16.9579,4.08,-0.264356,-0.264356,3.16435,13.819446861743927,-3.871744155883789,119.603,773.5,5.485815602,773.5,5.485815602,51.25,0.24657534,OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
