Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CLE,Guardians,0.772269,1.11055,0.822,21.588,0.0,0.679,,30.5273,135.805,30.4493,17.34,16.26,3.42445,28.3614,14.3682,0.658307,1.99713,4.79374,1.46811,8.36145,4.23601,1.9739,1.00959,0.208839,0.1058,0.10303852707147598,,0.254934,0.308313,0.686538,4.3436,126.49999999999997,4.080645161290322,128.0,4.129032258064516,0.121016,-0.0217082,0.0,999.0,5,AL,Pedro Avila,658648,18864,18864
CLE,Guardians,1.32503,1.36416,0.0,37.435,0.0,0.679,,38.4343,167.406,36.3542,20.57,19.26,4.46987,33.6469,16.107,0.762617,2.84252,4.51003,1.36496,7.87896,3.7717,2.08897,1.04669,0.200989,0.0962147,0.10477466136217117,,0.244881,0.288964,0.690235,4.37525,153.4,4.036842105263158,153.0,4.026315789473684,0.116442,-0.116308,0.0,999.0,5,AL,Colin Holderman,670059,22361,22361
SEA,Mariners,0.860833,0.764146,0.0,22.049,0.0,0.65,,24.4578,106.26,21.5954,12.09,11.3,2.4383,25.4921,12.153,0.584422,1.40945,4.15818,1.37986,9.3806,4.47208,2.09759,0.897247,0.239903,0.114371,0.12553252279758453,,0.232967,0.295785,0.71398,4.01016,110.80000000000003,4.616666666666668,109.0,4.541666666666667,0.115558,0.0552798,0.0,999.0,11,AL,Yosver Zulueta,691172,27765,27765
SEA,Mariners,0.651675,0.894457,1.922,6.415,0.0,0.65,,14.3275,61.9737,13.8858,7.81,7.3,1.91666,12.0608,5.39844,0.218309,0.840702,4.58559,1.34596,7.57613,3.3911,2.23412,1.20398,0.194611,0.0871086,0.10750272870063782,,0.249142,0.286638,0.691182,4.49703,52.6,3.757142857142857,54.0,3.857142857142857,0.112393,0.0311635,0.120092,999.0,11,AL,Dane Dunning,641540,19409,19409
BOS,Red Sox,2.29162,1.70321,0.0,49.324,0.0,12.1976,,53.4442,232.306,48.3904,27.95,26.07,6.44279,48.1385,24.3903,1.65316,3.10169,4.39019,1.36181,8.10652,4.10732,1.97368,1.08496,0.20722,0.104992,0.1022280901670456,,0.236265,0.279217,0.703108,4.44407,256.6,4.841509433962265,250.0,4.716981132075472,0.111248,-0.0310764,0.0,999.0,3,AL,Zack Kelly,677161,20349,20349
TEX,Rangers,0.625821,0.3784,0.0,12.661,0.0,0.0,,12.9432,54.928,9.76148,5.43,5.08,1.21395,14.6601,6.62803,0.463914,0.791976,3.53236,1.26626,10.1939,4.60877,2.21184,0.844115,0.266898,0.120668,0.14622988551855087,,0.20547,0.270202,0.746054,3.80893,63.900000000000006,4.915384615384616,58.0,4.461538461538462,0.110326,0.184824,0.0,999.0,13,AL,Emiliano Teodo,693713,sa3015158,sa3015158
SEA,Mariners,0.597067,0.505782,0.0,14.847,0.0,0.0,,15.3936,65.608,12.9682,7.26,6.79,1.73715,16.1643,6.55984,0.464921,0.967303,3.96983,1.26858,9.45058,3.83527,2.46412,1.01564,0.246376,0.0999854,0.14639104902744293,,0.223278,0.279522,0.717596,3.96898,60.60000000000001,4.040000000000001,57.0,3.8,0.109966,0.0858507,0.0,999.0,11,AL,Domingo Gonzalez,682445,sa3007495,sa3007495
TBR,Rays,2.19175,1.68281,0.0,48.171,0.0,10.2907,,52.6437,224.614,46.9673,27.32,25.5,7.74552,49.7421,21.2714,1.162,1.79212,4.3595,1.29624,8.50395,3.63657,2.33846,1.32418,0.221456,0.0947017,0.1267540007829666,,0.233029,0.272254,0.712931,4.47239,242.60000000000008,4.57735849056604,232.0,4.377358490566038,0.108714,0.070946,0.0,999.0,12,AL,Cole Sulser,642121,15256,15256
TEX,Rangers,1.2181,1.9012,4.335,6.627,0.0,0.0,,24.8655,106.567,25.811,14.79,13.85,4.58475,17.6378,7.10258,0.286936,0.587232,5.01297,1.32366,6.38397,2.57076,2.4833,1.65944,0.165509,0.0666489,0.0988602340221405,,0.26104,0.276907,0.684039,5.04121,67.9,2.716,72.0,2.88,0.108064,0.02578,0.702974,999.0,13,AL,Austin Gomber,596295,16561,16561
BAL,Orioles,0.479895,0.306552,0.0,9.752,0.0,0.6611,,10.0201,42.1257,7.28303,4.35,4.09,1.16239,12.9006,5.05268,0.171828,0.431053,3.67362,1.2311,11.5872,4.53829,2.55321,1.04405,0.30624,0.119943,0.18629686534404755,,0.198762,0.271077,0.745745,3.71009,58.5,5.85,52.0,5.2,0.106425,0.126164,0.0,999.0,2,AL,Félix Bautista,642585,20666,20666
LAA,Angels,1.19269,1.99199,4.375,4.529,0.0,0.0,,22.2522,97.952,23.0286,14.04,13.15,4.04071,19.0366,8.81683,0.0853921,0.906822,5.31858,1.43112,7.69944,3.566,2.15912,1.63428,0.194346,0.0900117,0.10433447360992432,,0.261012,0.291444,0.679897,5.09571,61.80000000000001,2.8090909090909095,66.0,3.0,0.103482,-0.0335719,1.41563,999.0,1,AL,Mitch Farris,815083,33628,33628
HOU,Astros,0.594035,0.404767,0.017,12.778,0.0,0.0,,14.01,60.1939,9.94921,6.34,5.96,1.50367,16.866,8.33855,0.405684,0.902954,3.82869,1.30534,10.8347,5.35667,2.02265,0.965957,0.280194,0.138528,0.14166606962680817,,0.195265,0.259203,0.738308,4.10161,60.00000000000003,4.285714285714287,51.0,3.642857142857143,0.103429,0.135196,0.0,999.0,21,AL,Miguel Ullola,699044,sa3016504,sa3016504
NYY,Yankees,1.52376,1.11878,0.51,30.059,0.0,0.0,,34.1445,149.795,31.4695,18.79,17.59,4.73635,34.3218,15.9724,0.983954,1.92571,4.63647,1.38945,9.04672,4.21011,2.14881,1.24843,0.229126,0.106629,0.12249656766653061,,0.238593,0.287954,0.702064,4.50061,123.50000000000003,3.6323529411764715,119.0,3.5,0.0990808,-0.075331,0.0,999.0,9,AL,Dom Hamel,687589,30153,30153
BOS,Red Sox,2.7653,2.12424,0.0,60.363,1.0,16.6607,,61.6007,265.987,59.5118,33.55,31.21,8.08981,50.5839,23.218,1.51357,2.68592,4.55985,1.343,7.39042,3.3922,2.17865,1.18194,0.190174,0.0872897,0.10288427025079727,,0.247879,0.283457,0.688753,4.4616,301.4,4.861290322580645,303.0,4.887096774193548,0.0989252,-0.163041,0.0,999.0,3,AL,Greg Weissert,669711,20375,20375
CHW,White Sox,1.65055,1.45299,0.0,40.544,0.0,9.1921,,48.1745,208.58,43.2443,25.02,23.34,5.904,43.4261,21.317,1.37422,2.99539,4.3604,1.34015,8.1129,3.98245,2.03716,1.10299,0.208199,0.102201,0.10599852353334427,,0.234683,0.276724,0.702386,4.4395,219.60000000000002,4.575,212.0,4.416666666666667,0.0973451,0.0084068,0.0,999.0,4,AL,Chris Murphy,669684,26214,26214
HOU,Astros,0.40364,0.373501,0.988,1.035,0.0,0.0,,6.0495,25.2861,5.8187,3.01,2.82,0.866447,5.44445,1.44043,0.0229403,0.301791,4.19539,1.19996,8.09985,2.14297,3.77973,1.28904,0.215314,0.0569654,0.15834840759634972,,0.247143,0.28737,0.702788,4.0611,23.500000000000007,3.916666666666668,24.0,4.0,0.0966628,0.0738207,0.460218,999.0,21,AL,Brandon Walter,687888,26056,26056
TOR,Blue Jays,0.683872,0.427078,0.04,14.748,0.0,0.6476,,19.1461,81.1924,17.0812,9.7,9.06,2.86916,19.0827,6.56914,0.505309,1.06755,4.25883,1.23526,8.97018,3.08795,2.9049,1.34871,0.23503,0.0809082,0.15412188321352005,,0.232221,0.275406,0.710537,4.28648,77.49999999999999,4.078947368421052,74.0,3.8947368421052633,0.0930171,-0.00727955,0.0,999.0,14,AL,Lazaro Estrada,681751,24914,24914
KCR,Royals,0.902663,0.781491,0.0,22.315,0.0,0.663,,23.5332,102.056,23.4428,12.75,11.9,2.90634,20.6861,8.4313,0.553619,1.34502,4.55102,1.35443,7.91117,3.22445,2.45349,1.1115,0.202694,0.0826145,0.12007947266101837,,0.25404,0.298985,0.687788,4.22887,99.90000000000002,4.1625000000000005,100.0,4.166666666666667,0.092491,-0.0467063,0.0,999.0,7,AL,James McArthur,663704,21527,21527
TEX,Rangers,0.632881,0.496132,0.132,13.49,0.0,0.6435,,16.0758,68.2702,15.1536,8.3,7.76,2.28218,15.7412,4.82921,0.47306,0.836976,4.34442,1.24304,8.81267,2.70362,3.25958,1.27767,0.230572,0.0707368,0.1598351150751114,,0.242055,0.288722,0.695912,4.07969,72.80000000000001,4.550000000000001,72.0,4.5,0.0920331,0.0368532,0.0,999.0,13,AL,Jose Corniell,692030,27984,27984
HOU,Astros,1.14164,0.853025,0.0,25.893,0.0,0.6558,,28.3594,124.466,24.7765,14.23,13.33,2.78397,27.4815,15.8419,0.767662,1.489,4.23034,1.43227,8.72139,5.02751,1.73474,0.883508,0.220795,0.127279,0.0935162752866745,,0.231264,0.286102,0.718622,4.30658,112.30000000000004,4.010714285714287,108.0,3.857142857142857,0.090828,0.0644931,0.0,999.0,21,AL,Christian Roa,685005,27662,27662
TEX,Rangers,0.685556,0.467536,0.0,14.471,0.0,0.0,,15.1708,65.4218,12.5706,7.4,6.93,1.76152,16.9278,7.19773,0.503491,1.09494,4.11119,1.30305,10.0423,4.27002,2.35182,1.04501,0.258748,0.11002,0.14872802793979645,,0.220038,0.281194,0.714841,4.05284,62.60000000000001,4.173333333333334,59.0,3.933333333333333,0.0893633,0.0858611,0.0,999.0,13,AL,Gavin Collyer,686560,sa3011742,sa3011742
TBR,Rays,0.541462,0.382745,0.0,11.783,0.0,0.6682,,12.1429,51.5432,10.9735,5.58,5.19,1.17012,10.7831,4.45519,0.284602,0.821793,3.84669,1.2706,7.99215,3.30207,2.42035,0.867264,0.209205,0.086436,0.12276899814605713,,0.237183,0.285706,0.714165,3.91554,58.90000000000001,4.908333333333334,58.0,4.833333333333333,0.0828017,0.0276399,0.0,999.0,12,AL,Manuel Rodríguez,655889,20794,20794
ATH,Athletics,0.449767,0.466204,0.368,9.922,0.0,0.0,,12.4405,53.2109,11.2239,5.91,5.51,1.23115,11.4765,4.90015,0.385824,0.780672,3.98617,1.29609,8.30262,3.54498,2.34208,0.890664,0.21568,0.0920892,0.12359091639518738,,0.236143,0.286963,0.709286,3.94654,51.90000000000001,4.325000000000001,51.0,4.25,0.0815967,0.0276399,0.0,999.0,10,AL,Henry Baez,692013,sa3016584,sa3016584
DET,Tigers,0.335643,0.498673,1.104,2.961,0.0,0.0,,8.6829,37.1856,7.79043,4.51,4.22,1.19816,7.56295,3.54239,0.142619,0.420833,4.37411,1.30519,7.83915,3.67176,2.13499,1.24192,0.203384,0.0952624,0.10812139511108398,,0.234493,0.269498,0.706633,4.5563,37.500000000000014,4.166666666666668,36.0,4.0,0.0774728,0.0344651,0.0651249,999.0,6,AL,Jackson Jobe,695549,30203,30203
KCR,Royals,0.49874,0.373469,0.0,11.625,0.0,0.0,,12.4236,53.6688,9.85243,5.83,5.45,1.28842,13.8662,6.67059,0.293253,0.806511,3.94813,1.32997,10.0451,4.83236,2.07871,0.933367,0.258367,0.124292,0.13407523185014725,,0.213295,0.275929,0.726466,4.05663,54.500000000000014,4.541666666666668,51.0,4.25,0.0764787,0.0276399,0.0,999.0,7,AL,Eric Cerantola,672021,sa3017914,sa3017914
DET,Tigers,0.725809,0.626424,0.0,18.9,0.0,0.6028,,22.1512,95.6163,20.4626,11.62,10.8,2.83714,19.9845,8.68821,0.574085,1.48605,4.38802,1.31599,8.11968,3.53001,2.30019,1.15272,0.209007,0.0908654,0.11814200133085251,,0.239492,0.281466,0.696253,4.37374,87.9,3.9954545454545456,85.0,3.8636363636363638,0.0759325,-0.0512588,0.0,999.0,6,AL,Dylan Smith,681916,30145,30145
CHW,White Sox,2.06505,2.10052,0.472,51.844,1.0,10.8226,,58.6348,259.332,56.5115,31.4,29.39,5.28271,48.0221,28.2581,1.25165,5.48909,4.51114,1.44572,7.37102,4.3374,1.69941,0.810856,0.185176,0.108965,0.07621102035045624,,0.250511,0.297357,0.689763,4.39501,272.90000000000003,4.62542372881356,276.0,4.677966101694915,0.0759021,-0.0172793,0.0,999.0,4,AL,Jordan Hicks,663855,19618,19618
KCR,Royals,1.00732,0.864309,0.0,24.308,0.0,0.663,,26.3926,112.705,25.2899,14.39,13.43,3.95139,22.3435,8.80635,0.471453,0.954734,4.57969,1.29189,7.61923,3.00301,2.5372,1.34744,0.198248,0.0781365,0.12011156976222992,,0.245668,0.278394,0.689891,4.49781,96.19999999999999,3.6999999999999997,96.0,3.6923076923076925,0.0708485,-0.042129,0.0,999.0,7,AL,Eli Morgan,669212,20203,20203
CLE,Guardians,0.490559,0.496191,0.0,13.687,0.0,0.0,,14.4076,62.1608,13.1095,7.62,7.14,1.91395,13.8386,6.18091,0.276813,0.413287,4.46015,1.3389,8.64458,3.86103,2.23893,1.19559,0.222626,0.0994342,0.12319222837686539,,0.235924,0.281196,0.702576,4.31415,55.20000000000003,3.9428571428571453,54.0,3.857142857142857,0.0707867,-0.0695348,0.0,999.0,5,AL,Carlos Hernández,672578,22713,22713
TEX,Rangers,0.798021,0.550639,0.0,16.779,0.0,0.6435,,17.2997,75.6062,13.4097,8.33,7.84,1.87586,20.6641,10.8685,0.512031,0.956582,4.07868,1.40339,10.7503,5.65424,1.90128,0.975895,0.273312,0.143752,0.12956011295318604,,0.210245,0.279668,0.736569,4.20644,77.40000000000002,4.55294117647059,69.0,4.0588235294117645,0.0674378,0.0904419,0.0,999.0,13,AL,Michel Otañez,671305,22533,22533
CLE,Guardians,0.354713,0.541525,1.348,1.348,0.0,0.0,,6.9409,30.2573,7.0583,3.97,3.71,0.939686,5.53195,2.64589,0.0211274,0.329512,4.81062,1.39812,7.17307,3.43082,2.09077,1.21845,0.18283,0.0874463,0.09538405388593674,,0.258717,0.294019,0.683567,4.58714,24.3,3.4714285714285715,25.0,3.5714285714285716,0.0673231,0.036766,0.466335,999.0,5,AL,Ryan Webb,669067,sa3018280,sa3018280
TOR,Blue Jays,1.07854,0.671421,0.009,23.405,0.0,0.6476,,25.1671,109.734,21.4601,12.92,12.11,2.95856,24.7181,13.0792,0.704204,1.67213,4.33065,1.3724,8.83943,4.67723,1.88988,1.05801,0.225255,0.11919,0.10606523603200912,,0.225937,0.274888,0.711223,4.45746,102.5,4.1,95.0,3.8,0.0633312,0.00649747,0.0,999.0,14,AL,Yariel Rodríguez,684320,33838,33838
HOU,Astros,1.69924,1.37505,0.0,39.155,0.0,4.3723,,42.4481,184.537,38.6956,23.53,22.07,6.29243,41.4219,18.2555,1.11212,2.62706,4.67936,1.34166,8.78242,3.87059,2.26901,1.33414,0.224464,0.098926,0.12553828954696655,,0.236447,0.279483,0.694223,4.58645,170.6,4.061904761904762,167.0,3.9761904761904763,0.0617168,-0.208483,0.0,999.0,21,AL,Nate Pearson,663878,20160,20160
TOR,Blue Jays,0.445555,0.277712,0.03,9.897,0.0,0.6476,,9.6226,40.5987,9.78751,4.93,4.58,1.24333,8.11911,2.16338,0.280423,0.460278,4.28367,1.24196,7.59379,2.02341,3.75297,1.16288,0.199984,0.053287,0.14669739082455635,,0.257735,0.298616,0.687633,3.94531,49.7,4.970000000000001,51.0,5.1,0.0591124,0.0230332,0.0,999.0,14,AL,Joe Mantiply,573009,14857,14857
ATH,Athletics,1.13956,1.04223,0.069,27.548,0.0,0.6364,,31.1448,135.064,31.8803,17.58,16.37,4.56586,27.2974,10.4097,0.917943,1.34357,4.73048,1.35785,7.8882,3.00813,2.62229,1.31941,0.202107,0.0770728,0.12503455579280853,,0.258537,0.298691,0.688344,4.42015,109.69999999999997,3.538709677419354,115.0,3.7096774193548385,0.0587696,-0.182711,0.0,999.0,10,AL,Brady Basso,669620,25582,25582
NYY,Yankees,0.968068,0.58146,0.0,19.147,0.0,0.691,,21.1041,90.4565,20.5095,10.95,10.22,2.65231,17.4942,6.98676,0.430182,1.33653,4.3584,1.30289,7.46054,2.97956,2.50391,1.1311,0.193399,0.0772389,0.11616052687168121,,0.24971,0.288081,0.695717,4.29422,77.9,3.7095238095238097,80.0,3.8095238095238093,0.0585433,-0.00269816,0.0,999.0,9,AL,Angel Chivilli,683409,26790,26790
