config,baseline_type,fill_discount,budget_displacement,predicted_vs_actual_r,draftee_msp_r,draft_auc,draft_percentile,optimal_uplift_mean,optimal_uplift_median,elapsed_s
proportional_fill_fd0.5_dispTrue,proportional_fill,0.5,True,0.01272585390104463,0.17452122594459302,0.49279974351307704,0.4945846172762682,52.26190476190476,50.0,57.9
proportional_fill_fd0.5_dispFalse,proportional_fill,0.5,False,0.00840416848936514,0.23609293881998847,0.49242810969810247,0.49432580581036795,51.22222222222222,46.0,53.9
proportional_fill_fd0.75_dispTrue,proportional_fill,0.75,True,-0.05612244899576804,0.04411093789107231,0.4963775860711236,0.498159748766032,50.62698412698413,48.0,55.7
proportional_fill_fd0.75_dispFalse,proportional_fill,0.75,False,-0.045932577808092546,0.15977141376458914,0.4958065600048604,0.4977684742914907,48.98412698412698,46.0,55.4
proportional_fill_fd1.0_dispTrue,proportional_fill,1.0,True,-0.04589931701505875,0.14100577740748446,0.5004665286728828,0.5019215107151693,49.82539682539682,49.0,54.5
proportional_fill_fd1.0_dispFalse,proportional_fill,1.0,False,-0.04314525811567708,0.18182801632821277,0.49901625266973026,0.5009119308418821,46.41269841269841,45.0,52.1
keeper_only_fd0.75_dispTrue,keeper_only,0.75,True,0.06463540541189466,0.3550118443755631,0.5067230018554133,0.5079132784118937,50.801587301587304,42.0,52.6
