year,fantasy_team,player_name,fg_id,mlb_team,position,salary,contract_year,status,eligibility,G,AB,PA,R,HR,RBI,SB,AVG,IP,W,SV,ERA,WHIP,SO,is_pitcher,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,production_value,auction_value,surplus,production_surplus
2024,Thunder & Lightning,Juan Soto,20123,NYY,OF,45,a,act,OF,157,576.0,713.0,128.0,41.0,109.0,7.0,0.288,,,,,,,False,4.022160109582972,3.3687093461143442,3.5337876293957047,0.6757361690805082,1.4672865398270942,0.0,0.0,0.0,0.0,0.0,13.067679794000624,8.76141411290234,46.47224810638614,70.67468396015528,25.674683960155278,1.4722481063861395
2024,Kerry & Mitch,Jose Ramirez,13510,Cle,3B,41,b,act,"3B,CI",158,620.0,682.0,114.0,39.0,118.0,41.0,0.279,,,,,,,False,3.582236347597335,3.2043820609380345,3.825568259345809,3.9578832760429767,1.2993987864208825,0.0,0.0,0.0,0.0,0.0,15.869468730345039,11.563203049246756,61.33348271003085,93.27555010430854,52.275550104308536,20.33348271003085
2024,Kerry & Mitch,Corbin Burnes,19361,Bal,P,38,a,act,P,32,,,,,,,,194.1,15.0,0.0,2.92,1.1,181.0,True,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0735809390329365,2.2932179837616,2.3139022004848067,14.680701123279343,10.065286811080902,53.388243030044045,34.11042375002217,-3.8895762499778286,15.388243030044045
2024,Thunder & Lightning,Lane Thomas,16939,FA,OF,35,LT,act,OF,130,472.0,528.0,65.0,15.0,63.0,32.0,0.237,,,,,,,False,2.0425031806476035,1.232454638822321,2.0424644096507283,3.089079630082323,-0.005433995630889525,0.0,0.0,0.0,0.0,0.0,8.401067863572086,4.094802182473802,21.719628877062203,33.03106626355122,-1.9689337364487827,-13.280371122937797
2024,Gusteroids,Jazz Chisholm Jr.,20454,FA,MI,35,L,act,"UT,OF",147,562.0,621.0,74.0,24.0,73.0,40.0,0.256,,,,,,,False,2.325311313352656,1.9719274221157137,2.3666651095952886,3.861349537602904,0.5292901713202315,0.0,0.0,0.0,0.0,0.0,11.054543553986795,6.748277872888511,35.794181117164854,54.4355511331622,19.4355511331622,0.7941811171648538
2024,Mean Machine,Wyatt Langford,33333,Tex,OF,33,a,act,OF,134,499.0,557.0,74.0,16.0,74.0,19.0,0.253,,,,,,,False,2.325311313352656,1.3146182814104757,2.3990851795897448,1.8341410303613794,0.39484612567324734,0.0,0.0,0.0,0.0,0.0,8.268001930387504,3.9617362492892196,21.013821232111926,31.957678719885827,-1.042321280114173,-11.986178767888074
2024,R&R,Rafael Devers,17350,Bos,CI,31,a,act,"3B,CI",138,525.0,601.0,87.0,28.0,83.0,3.0,0.272,,,,,,,False,2.7338119494821767,2.3005819924683326,2.6908658095398486,0.2896012153202178,0.9159071047462292,0.0,0.0,0.0,0.0,0.0,8.930768071556804,4.624502390458519,24.529262021923973,37.303937550141626,6.303937550141626,-6.470737978076027
2024,On a Bender,Christopher Morel,21897,FA,UT,30,L,act,"OF,2B,MI",152,535.0,611.0,56.0,21.0,60.0,8.0,0.196,,,,,,,False,1.7596950479425506,1.7254364943512495,1.9452041996673604,0.7722699075205808,-1.1067307890517697,0.0,0.0,0.0,0.0,0.0,5.095874860429972,0.7896091793316877,4.188240986685475,6.369448867748848,-23.630551132251153,-25.811759013314525
2024,Dancing With Dingos,Marcus Semien,12533,Tex,MI,28,a,act,"2B,MI",159,650.0,718.0,101.0,23.0,74.0,8.0,0.237,,,,,,,False,3.1737357114678146,1.8897637795275588,2.3990851795897448,0.7722699075205808,-0.007483256695080914,0.0,0.0,0.0,0.0,0.0,8.227371321410617,3.9211056403123328,20.798308562951952,31.629928494688574,3.629928494688574,-7.201691437048048
2024,Shrooms,George Springer,12856,Tor,OF,28,b,act,OF,145,545.0,614.0,74.0,19.0,56.0,16.0,0.22,,,,,,,False,2.325311313352656,1.56110920917494,1.8155239196895365,1.5445398150411616,-0.47113856169927615,0.0,0.0,0.0,0.0,0.0,6.775345695559017,2.469080014460733,13.096481635032342,19.917041637989858,-8.082958362010142,-14.903518364967658
2024,Thunder & Lightning,Josh Hader,14212,Hou,P,28,a,act,P,71,,,,,,,,71.0,8.0,34.0,3.8,0.96,105.0,True,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,5.309646841745196,2.9432375613174493,0.33591015330385865,1.2816389953771294,12.5371002184103,7.92168590621186,42.01816603009407,26.845937740987946,-1.1540622590120542,14.018166030094072
2024,Mean Machine,Alex Bregman,17678,Hou,3B,25,a,act,"3B,CI",145,581.0,634.0,79.0,26.0,75.0,3.0,0.26,,,,,,,False,2.482426942633241,2.1362547072920233,2.4315052495842004,0.2896012153202178,0.6637892079112091,0.0,0.0,0.0,0.0,0.0,8.003577322740892,3.6973116416426075,19.61126157523064,29.82467537865674,4.824675378656739,-5.388738424769361
2024,Ayal Feinberg,Anthony Santander,14551,Bal,OF,25,b,act,"OF,1B,CI",155,595.0,665.0,91.0,44.0,102.0,2.0,0.235,,,,,,,False,2.859504452906645,3.6152002738788083,3.3068471394345127,0.1930674768801452,-0.06655737862864397,0.0,0.0,0.0,0.0,0.0,9.908061964471466,5.601796283373182,29.713019310316902,45.187360948222874,20.187360948222874,4.713019310316902
2024,Ayal Feinberg,Yandy Diaz,16578,TB,1B,25,a,act,"1B,CI",145,563.0,621.0,55.0,14.0,65.0,0.0,0.281,,,,,,,False,1.7282719220864335,1.1502909962341663,2.1073045496396405,0.0,1.2364341008126987,0.0,0.0,0.0,0.0,0.0,6.222301568772939,1.9160358876746546,10.163027794979982,15.455864666675776,-9.544135333324224,-14.836972205020018
2024,On a Bender,Gleyber Torres,16997,NYY,2B,25,b,act,"2B,MI",154,587.0,665.0,80.0,15.0,63.0,4.0,0.257,,,,,,,False,2.513850068489358,1.232454638822321,2.0424644096507283,0.3861349537602904,0.5822873743035792,0.0,0.0,0.0,0.0,0.0,6.757191445026277,2.4509257639279927,13.000187951835631,19.770598848914812,-5.229401151085188,-11.999812048164369
2024,On a Bender,Emmanuel Clase,21032,Cle,P,25,a,act,P,74,,,,,,,,74.1,4.0,47.0,0.61,0.66,66.0,True,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,7.33980592829483,1.8500350385423967,2.253291235313498,2.3109650224442326,15.08743055792829,10.47201624572985,55.54561522540015,35.48879613303355,10.488796133033553,30.545615225400148
2024,Gusteroids,Gunnar Henderson,26289,Bal,3B,23,b,act,"SS,CI,3B,MI",159,630.0,719.0,118.0,37.0,92.0,21.0,0.281,,,,,,,False,3.707928851021803,3.040054775761725,2.982646439489953,2.0272085072415247,1.383576347268206,0.0,0.0,0.0,0.0,0.0,13.141414920783212,8.835149239684927,46.86335359025433,71.26947456301549,48.26947456301549,23.863353590254327
2024,Dancing With Dingos,Cedric Mullins,17929,Bal,OF,22,a,act,OF,147,444.0,499.0,69.0,18.0,54.0,32.0,0.234,,,,,,,False,2.1681956840720713,1.4789455665867852,1.7506837797006245,3.089079630082323,-0.07194369962892437,0.0,0.0,0.0,0.0,0.0,8.41496096081288,4.108695279714596,21.793320572674393,33.14313610114454,11.143136101144542,-0.20667942732560718
2024,Mean Machine,Kenley Jansen,3096,Bos,P,22,b,act,P,54,,,,,,,,54.2,4.0,27.0,3.29,1.06,62.0,True,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,4.216484256680008,1.7379117028731605,0.4789293407121172,0.7410567539541313,8.50771538755275,3.89230107535431,20.645523536234123,13.190686121019205,-8.809313878980795,-1.3544764637658773
2024,Thunder & Lightning,Josh Naylor,18839,Cle,1B,21,a,act,"1B,CI",152,563.0,633.0,84.0,31.0,108.0,6.0,0.243,,,,,,,False,2.6395425719138257,2.5470729202327966,3.501367559401249,0.5792024306404356,0.16300686012010362,0.0,0.0,0.0,0.0,0.0,9.43019234230841,5.123926661210127,27.178305694741677,41.33258544220073,20.33258544220073,6.1783056947416775
2024,Mean Machine,Kyle Tucker,18345,Hou,OF,20,y,act,OF,78,277.0,339.0,56.0,23.0,49.0,11.0,0.289,,,,,,,False,1.7596950479425506,1.8897637795275588,1.5885834297283443,1.0618711228407987,0.7195204314541105,0.0,0.0,0.0,0.0,0.0,7.019433811493363,2.713168130395079,14.39117257616897,21.885998958097066,1.8859989580970655,-5.6088274238310305
2024,Thunder & Lightning,Julio Rodriguez,23697,Sea,OF,20,x,act,OF,143,567.0,613.0,76.0,20.0,68.0,24.0,0.273,,,,,,,False,2.38815756506489,1.6432728517630948,2.2045647596230085,2.3168097225617426,1.0176284552832005,0.0,0.0,0.0,0.0,0.0,9.570433354295936,5.264167673197652,27.922171356128157,42.46385136260445,22.46385136260445,7.922171356128157
2024,R&R,Salvador Perez,7304,KC,C,20,a,act,"C,1B,CI",158,590.0,652.0,58.0,27.0,104.0,0.0,0.271,,,,,,,False,1.8225412996547845,2.218418349880178,3.371687279423425,0.0,0.9997023380449842,0.0,0.0,0.0,0.0,0.0,8.412349267003373,4.106083585905089,21.779467639674156,33.122068653332,13.122068653332,1.7794676396741558
2024,Dancing With Dingos,Bobby Witt Jr.,25764,KC,SS,20,x,act,"SS,MI",161,636.0,709.0,125.0,32.0,109.0,31.0,0.332,,,,,,,False,3.927890732014622,2.6292365628209513,3.5337876293957047,2.9925458916422505,3.024204231445558,0.0,0.0,0.0,0.0,0.0,16.107665047319088,11.801399366220803,62.596922401135515,95.19698073247879,75.19698073247879,42.596922401135515
2024,On a Bender,Pablo Lopez,17085,Min,P,20,b,act,P,32,,,,,,,,185.1,15.0,0.0,4.08,1.19,198.0,True,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.550105115627191,0.45854646275391814,1.4771772842163895,12.485828862597499,7.870414550399059,41.746212765771766,26.67218336062717,6.672183360627169,21.746212765771766
2024,Dancing With Dingos,Jose Altuve,5417,Hou,2B,19,b,act,"2B,MI",153,628.0,682.0,94.0,20.0,65.0,22.0,0.295,,,,,,,False,2.9537738304749954,1.6432728517630948,2.1073045496396405,2.1237422456815973,1.8203157746079974,0.0,0.0,0.0,0.0,0.0,10.648409252167326,6.342143571069042,33.639965622331225,51.15943462313448,32.15943462313448,14.639965622331225
2024,Gusteroids,Gerrit Cole,13125,NYY,P,19,a,act,P,17,,,,,,,,95.0,8.0,0.0,3.41,1.13,99.0,True,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,2.7750525578135954,0.7476883731398981,1.007722009816865,7.197129607437025,2.5817152952385847,13.693921117562041,8.7492194087855,-10.2507805912145,-5.3060788824379586
2024,Gusteroids,Masataka Yoshida,31837,Bos,UT,18,a,act,OF,108,378.0,421.0,45.0,10.0,56.0,2.0,0.28,,,,,,,False,1.4140406635252638,0.8216364258815474,1.8155239196895365,0.1930674768801452,0.8111799535894082,0.0,0.0,0.0,0.0,0.0,5.055448439565901,0.749182758467617,3.973811371073351,6.043345743140124,-11.956654256859876,-14.026188628926649
2024,Dancing With Dingos,Carlos Rodon,16137,NYY,P,17,b,act,P,32,,,,,,,,175.0,16.0,0.0,3.96,1.22,195.0,True,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,5.466012613875264,0.6025637142308792,1.1666974280559477,12.568607089495423,7.953192777296983,42.185284615205525,26.95271191880548,9.95271191880548,25.185284615205525
2024,Dancing With Dingos,Justin Verlander,8700,Hou,P,17,a,act,P,17,,,,,,,,90.1,5.0,0.0,5.48,1.38,74.0,True,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,2.0742817098808692,-0.7921503597472727,-0.030539299919642802,2.91825871688062,-1.69715559531782,0.0,0.0,-17.0,-17.0
2024,Thunder & Lightning,Carlos Correa,14162,Min,SS,16,a,act,"SS,MI",86,319.0,367.0,55.0,14.0,54.0,0.0,0.31,,,,,,,False,1.7282719220864335,1.1502909962341663,1.7506837797006245,0.0,1.1647344850751944,0.0,0.0,0.0,0.0,0.0,5.7939811830964185,1.4877155019981343,7.891132987169277,12.00078224490082,-3.9992177550991794,-8.108867012830723
2024,Thunder & Lightning,Byron Buxton,14161,Min,UT,16,a,act,UT,102,355.0,388.0,62.0,18.0,56.0,7.0,0.279,,,,,,,False,1.9482338030792523,1.4789455665867852,1.8155239196895365,0.6757361690805082,0.7440105954506666,0.0,0.0,0.0,0.0,0.0,6.662450053886749,2.356184372788465,12.497661147572773,19.006359447552526,3.0063594475525264,-3.5023388524272274
2024,Gusteroids,Steven Kwan,24610,Cle,OF,15,y,act,OF,122,480.0,540.0,83.0,14.0,44.0,12.0,0.292,,,,,,,False,2.608119446057709,1.1502909962341663,1.4264830797560644,1.1584048612808713,1.31907328361599,0.0,0.0,0.0,0.0,0.0,7.662371666944801,3.3561059858465168,17.801440273883042,27.07231125363561,12.072311253635611,2.801440273883042
2024,Gusteroids,Riley Greene,25976,Det,OF,15,y,act,OF,137,512.0,584.0,82.0,24.0,74.0,4.0,0.262,,,,,,,False,2.576696320201592,1.9719274221157137,2.3990851795897448,0.3861349537602904,0.6363354991097644,0.0,0.0,0.0,0.0,0.0,7.970179374777105,3.663913693678821,19.434112349772658,29.555268021939938,14.555268021939938,4.434112349772658
2024,Shrooms,Taylor Ward,17548,LAA,OF,15,y,act,OF,156,585.0,663.0,73.0,25.0,75.0,6.0,0.246,,,,,,,False,2.293888187496539,2.0540910647038686,2.4315052495842004,0.5792024306404356,0.2574323318633919,0.0,0.0,0.0,0.0,0.0,7.616119264288436,3.3098535831901517,17.556108515326198,26.699212356812254,11.699212356812254,2.5561085153261978
2024,Gusteroids,Adley Rutschman,26288,Bal,C,15,y,act,C,148,571.0,638.0,68.0,19.0,79.0,1.0,0.25,,,,,,,False,2.1367725582159545,1.56110920917494,2.5611855295620245,0.0965337384400726,0.36586947424204497,0.0,0.0,0.0,0.0,0.0,6.7214705096350364,2.4152048285367522,12.810717148298414,19.482452918702556,4.482452918702556,-2.189282851701586
2024,On a Bender,Tyler O'Neill,15711,Bos,OF,15,a,act,OF,113,411.0,473.0,74.0,31.0,61.0,4.0,0.241,,,,,,,False,2.325311313352656,2.5470729202327966,1.9776242696618165,0.3861349537602904,0.0777546952185877,0.0,0.0,0.0,0.0,0.0,7.313898152226147,3.007632471127863,15.953068832261378,24.26132033323647,9.261320333236469,0.9530688322613781
2024,HAMMERHEADS,Colt Keith,27899,Det,UT,15,a,act,3B,148,516.0,556.0,54.0,13.0,61.0,7.0,0.26,,,,,,,False,1.6968487962303167,1.0681273536460116,1.9776242696618165,0.6757361690805082,0.5895270762171839,0.0,0.0,0.0,0.0,0.0,6.007863664835837,1.7015979837375523,9.02560735727883,13.726083275848168,-1.2739167241518317,-5.97439264272117
2024,Shrooms,Justin Turner,5235,FA,CI,15,b,act,"1B,2B,MI,CI,3B",139,460.0,539.0,59.0,11.0,55.0,0.0,0.259,,,,,,,False,1.8539644255109016,0.9038000684697021,1.7831038496950804,0.0,0.502467252799706,0.0,0.0,0.0,0.0,0.0,5.04333559647539,0.7370699153771056,3.909562490456351,5.945636475406715,-9.054363524593285,-11.09043750954365
2024,Mean Machine,Spencer Torkelson,27465,Det,CI,15,y,act,"1B,CI",92,342.0,381.0,45.0,10.0,37.0,0.0,0.219,,,,,,,False,1.4140406635252638,0.8216364258815474,1.1995425897948724,0.0,-0.312809836285124,0.0,0.0,0.0,0.0,0.0,3.1224098429165594,-1.1838558381817248,0.0,0.0,-15.0,-15.0
2024,Ayal Feinberg,Brandon Drury,11615,LAA,UT,15,b,act,"2B,1B,CI,MI",97,325.0,360.0,28.0,4.0,15.0,1.0,0.169,,,,,,,False,0.8798475239712753,0.3286545703526189,0.4863010499168401,0.0965337384400726,-1.1125918676345516,0.0,0.0,0.0,0.0,0.0,0.6787450150462553,-3.627520666052029,0.0,0.0,-15.0,-15.0
2024,Dancing With Dingos,George Kirby,25436,Sea,P,15,y,act,P,33,,,,,,,,191.0,14.0,0.0,3.53,1.07,179.0,True,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,5.017519271198319,1.3187543728134292,2.527841428100114,13.53078173877853,8.91536742658009,47.28884648854647,30.213442151792375,15.213442151792375,32.28884648854647
2024,R&R,Chris Bassitt,12304,Tor,P,15,b,act,P,31,,,,,,,,171.0,10.0,0.0,4.16,1.46,168.0,True,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,4.709180098107919,0.31350055940048455,-0.6569554334576423,7.699058557384094,3.0836442451856545,16.3562500970093,10.450215068069609,-4.549784931930391,1.3562500970093012
2024,Gusteroids,Ryan Pepiot,26221,TB,P,15,a,act,P,26,,,,,,,,130.0,8.0,0.0,3.6,1.15,142.0,True,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,3.980378416257884,0.8243317601048282,1.265143903333786,8.736520746363166,4.121106434164726,21.85915175488546,13.966088540422394,-1.033911459577606,6.85915175488546
2024,Thunder & Lightning,Jorge Polanco,13152,Sea,CI,14,b,act,"2B,3B,CI,MI",118,417.0,469.0,43.0,16.0,45.0,4.0,0.213,,,,,,,False,1.35119441181303,1.3146182814104757,1.4589031497505203,0.3861349537602904,-0.5069443804618673,0.0,0.0,0.0,0.0,0.0,4.003906416272449,-0.3023592648258351,0.0,0.0,-14.0,-14.0
2024,Shrooms,Andrew Benintendi,17901,CWS,UT,14,a,act,OF,135,477.0,522.0,50.0,20.0,64.0,3.0,0.229,,,,,,,False,1.5711562928058487,1.6432728517630948,2.0748844796451844,0.2896012153202178,-0.19695637874208363,0.0,0.0,0.0,0.0,0.0,5.381958460792261,1.075692779693977,5.705684162396797,8.677166295693866,-5.3228337043061345,-8.294315837603204
