year,fantasy_team,player_name,fg_id,mlb_team,position,salary,contract_year,status,eligibility,G,AB,PA,R,HR,RBI,SB,AVG,IP,W,SV,ERA,WHIP,SO,is_pitcher,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,production_value,auction_value,surplus,production_surplus
2023,HAMMERHEADS,Justin Verlander,8700,FA,P,78,L,act,P,27,,,,,,,,162.1,13.0,0.0,3.22,1.13,144.0,True,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,4.036440084092502,1.5237066586736716,1.719491976750672,11.612972052850179,6.997557740651739,38.890398893308394,27.97209164505486,-50.02790835494514,-39.109601106691606
2023,Kerry & Mitch,Jose Ramirez,13510,Cle,3B,41,a,act,"3B,CI",156,611.0,691.0,87.0,24.0,80.0,28.0,0.282,,,,,,,False,2.7338119494821767,1.9719274221157137,2.5936055995564806,2.7029446763220326,1.3725058893489936,0.0,0.0,0.0,0.0,0.0,11.374795536825395,7.068529855727111,39.284841349931256,51.5019407906577,10.501940790657699,-1.7151586500687444
2023,Mean Machine,Rafael Devers,17350,Bos,3B,39,b,act,"CI,3B",153,580.0,656.0,90.0,33.0,100.0,5.0,0.271,,,,,,,False,2.8280813270505276,2.7114002054091064,3.242006999445601,0.482668692200363,0.982758230620493,0.0,0.0,0.0,0.0,0.0,10.246915454726093,5.9406497736278085,33.01641057417121,43.28410562650741,4.284105626507412,-5.983589425828789
2023,R&R,Aaron Judge,15640,NYY,OF,36,b,act,OF,106,367.0,458.0,79.0,37.0,75.0,3.0,0.267,,,,,,,False,2.482426942633241,3.040054775761725,2.4315052495842004,0.2896012153202178,0.548192989027547,0.0,0.0,0.0,0.0,0.0,8.79178117232693,4.485515491228646,24.92919575105197,32.68186708692514,-3.3181329130748622,-11.07080424894803
2023,HAMMERHEADS,Marcus Semien,12533,Tex,2B,34,a,act,"2B,MI,SS",162,670.0,753.0,122.0,29.0,100.0,14.0,0.276,,,,,,,False,3.833621354446271,2.3827456350564873,3.242006999445601,1.3514723381610163,1.3033388309979954,0.0,0.0,0.0,0.0,0.0,12.113185158107372,7.806919477009088,43.38859697076882,56.881913618372195,22.881913618372195,9.388596970768823
2023,Livn Lex,Shohei Ohtani-Pitcher,19755,LAA,P,32,a,act,P,23,,,,,,,,132.0,10.0,0.0,3.14,1.06,167.0,True,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,4.68114926419061,1.3257747576621233,1.8047876664565556,11.145045021642623,6.5296307094441834,36.28979600140163,26.101596497283904,-5.898403502716096,4.289796001401633
2023,Livn Lex,Ryan Pressly,7005,Hou,P,32,a,act,P,65,,,,,,,,65.1,4.0,31.0,3.58,1.07,74.0,True,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,4.841148591002972,2.0742817098808692,0.42328033027925505,0.8615836490540177,9.533627613550447,4.918213301352007,27.334004837256273,19.660104038317364,-12.339895961682636,-4.665995162743727
2023,On a Bender,Daulton Varsho,19918,Tor,C,30,a,act,"OF,C",158,527.0,581.0,65.0,20.0,61.0,16.0,0.22,,,,,,,False,2.0425031806476035,1.6432728517630948,1.9776242696618165,1.5445398150411616,-0.4555780220468231,0.0,0.0,0.0,0.0,0.0,6.752362095066853,2.4460964139685686,13.594695291770275,17.82247726921292,-12.177522730787079,-16.405304708229725
2023,Livn Lex,Byron Buxton,14161,Min,OF,30,a,act,OF,85,304.0,347.0,49.0,17.0,42.0,9.0,0.207,,,,,,,False,1.5397331669497318,1.3967819239986305,1.3616429397671523,0.8688036459606534,-0.46108873861981453,0.0,0.0,0.0,0.0,0.0,4.705872938056354,0.39960725695806953,2.2209013772729027,2.911574218038667,-27.088425781961334,-27.779098622727098
2023,Kerry & Mitch,Jordan Montgomery,16511,FA,P,30,L,act,P,32,,,,,,,,188.2,10.0,0.0,3.2,1.19,166.0,True,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,4.653118430273301,1.7993393188682345,1.501916612044973,11.287707694519842,6.672293382321402,37.08267381120501,26.671877373548366,-3.328122626451634,7.082673811205012
