player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value
Jonny DeLuca,TBR,hitter,OF,thebatx,26365,676356,275.684,252.702,,30.582,6.09701,26.4779,8.84289,0.231388,,,,,,0.9609820349317694,0.5009525504964053,0.8584153713062068,0.8536372303143337,-0.07406453518347425,0.0,0.0,0.0,0.0,0.0,3.099922651865241,-1.206343029233043,0.0
Chase DeLauter,CLE,hitter,OF,thebatx,32127,800050,459.509,418.588,,47.5868,11.65,49.7983,4.1228,0.239137,,,,,,1.4953260054898672,0.9572064361520027,1.6144643716049185,0.3979892968407313,0.04006289144117156,0.0,0.0,0.0,0.0,0.0,4.5050490015286915,0.19878332043040725,1.2063202287300345
Daniel Schneemann,CLE,hitter,2B/OF,thebatx,25180,682177,219.176,195.742,,24.3357,5.71566,21.3079,4.25811,0.220702,,,,,,0.7647037638967058,0.46961944539541245,0.6908036094348692,0.4110512769890576,-0.16231946914203868,0.0,0.0,0.0,0.0,0.0,2.173858626574006,-2.132407054524278,0.0
Leo Jiménez,TOR,hitter,2B/SS,thebatx,23782,677870,124.127,109.976,,13.9881,2.84615,12.5476,0.917371,0.241302,,,,,,0.43954982678794985,0.23385005135227663,0.4067940702624362,0.08855725216650785,0.022472142532296575,0.0,0.0,0.0,0.0,0.0,1.1912233431014672,-3.115042337996817,0.0
Javier Báez,DET,hitter,SS,thebatx,12979,595879,341.852,318.23,,34.8413,8.78696,36.7177,4.96511,0.231028,,,,,,1.0948225548907282,0.7219686408764122,1.1903904040354374,0.4793006300661889,-0.09901826320444544,0.0,0.0,0.0,0.0,0.0,3.3874639666643214,-0.9188017144339629,0.0
Ben Williamson,TBR,hitter,3B,thebatx,33197,810938,262.154,242.195,,26.5872,2.76794,22.8923,4.71497,0.251591,,,,,,0.8354529317617532,0.227424032865457,0.7421699683340852,0.4551536807327891,0.17452070996143776,0.0,0.0,0.0,0.0,0.0,2.4347213236555225,-1.8715443574427617,0.0
Darell Hernaiz,ATH,hitter,3B/SS,thebatx,26224,687231,193.096,176.239,,21.125,2.52121,16.7459,3.70423,0.258231,,,,,,0.6638135337104711,0.2071517973296816,0.5429032501201608,0.3575831699418701,0.18570940364659827,0.0,0.0,0.0,0.0,0.0,1.957161154748782,-2.3491045263495023,0.0
Reese McGuire,CHW,hitter,C,thebatx,15674,624512,103.716,94.8283,,10.2314,2.85699,10.911,0.700379,0.221439,,,,,,0.3215025698842752,0.2347407052379322,0.35373538370950947,0.0676102031949196,-0.07512997038492719,0.0,0.0,0.0,0.0,0.0,0.9024588916417093,-3.403806789456575,0.0
Leo Rivas,SEA,hitter,2B/SS,thebatx,21009,660844,155.356,133.455,,17.1006,1.96479,10.4024,6.03888,0.216423,,,,,,0.5373543060151139,0.16143430332078054,0.3372465361103292,0.5829556623909856,-0.1393200278121215,0.0,0.0,0.0,0.0,0.0,1.4796707800250877,-2.8265949010731966,0.0
Travis Bazzana,CLE,hitter,2B,thebatx,sa3025129,683953,210.592,186.159,,22.2125,4.87491,19.7186,3.18713,0.21439,,,,,,0.6979861830789983,0.4005403628894214,0.6392783921926802,0.3076655737945086,-0.2133292399393246,0.0,0.0,0.0,0.0,0.0,1.832141272016284,-2.474124409082,0.0
Jake Fraley,TBR,hitter,OF,thebatx,19260,641584,362.304,324.56,,41.5756,7.41687,33.8611,13.082,0.235505,,,,,,1.306435311343577,0.6093970558028072,1.0977792320892743,1.2628543662730298,-0.028081956800301275,0.0,0.0,0.0,0.0,0.0,4.248384008708387,-0.05788167238989761,0.0
