year,team,baseline_pts,msp_sum_draftees,predicted_pts,actual_total_pts,n_draftees_matched,n_draftees_total,config
2024,On a Bender,35.0,119.0,154.0,57.5,29,29,proportional_fill_fd0.5_dispFalse
2024,R&R,26.0,54.0,80.0,34.0,35,35,proportional_fill_fd0.5_dispFalse
2024,Shrooms,65.0,55.0,120.0,36.0,33,33,proportional_fill_fd0.5_dispFalse
2024,Thunder & Lightning,53.0,83.0,136.0,78.0,35,35,proportional_fill_fd0.5_dispFalse
2025,Dancing With Dingos,62.0,7.0,69.0,66.0,21,21,proportional_fill_fd0.5_dispFalse
2025,Gusteroids,33.0,116.0,149.0,22.0,43,43,proportional_fill_fd0.5_dispFalse
2025,HAMMERHEADS,33.0,106.0,139.0,69.5,26,26,proportional_fill_fd0.5_dispFalse
2025,Kerry & Mitch,47.0,61.0,108.0,56.5,37,37,proportional_fill_fd0.5_dispFalse
2025,Kosher Hogs,52.0,66.0,118.0,51.0,24,24,proportional_fill_fd0.5_dispFalse
2025,Mean Machine,59.0,46.0,105.0,65.5,34,34,proportional_fill_fd0.5_dispFalse
2025,On a Bender,49.0,107.0,156.0,25.0,41,41,proportional_fill_fd0.5_dispFalse
2025,R&R,77.0,25.0,102.0,76.0,28,28,proportional_fill_fd0.5_dispFalse
2025,Shrooms,50.0,47.0,97.0,42.5,44,44,proportional_fill_fd0.5_dispFalse
2025,Thunder & Lightning,88.0,56.0,144.0,76.0,39,39,proportional_fill_fd0.5_dispFalse
2019,Boppers,62.0,36.0,98.0,47.0,29,29,proportional_fill_fd0.75_dispTrue
2019,Dancing With Dingos,72.0,8.0,80.0,65.5,22,22,proportional_fill_fd0.75_dispTrue
2019,Gusteroids,73.0,41.0,114.0,89.5,26,26,proportional_fill_fd0.75_dispTrue
2019,HAMMERHEADS,62.0,60.0,122.0,69.5,23,23,proportional_fill_fd0.75_dispTrue
2019,Kerry & Mitch,67.0,64.0,131.0,31.5,32,32,proportional_fill_fd0.75_dispTrue
2019,Livn Lex,27.0,192.0,219.0,49.0,33,33,proportional_fill_fd0.75_dispTrue
2019,Mashers,67.0,14.0,81.0,45.0,26,26,proportional_fill_fd0.75_dispTrue
2019,R&R,55.0,57.0,112.0,50.5,34,34,proportional_fill_fd0.75_dispTrue
2019,Shrooms,60.0,-3.0,57.0,63.0,25,25,proportional_fill_fd0.75_dispTrue
2019,Thunder & Lightning,63.0,40.0,103.0,69.5,21,21,proportional_fill_fd0.75_dispTrue
2019,mean machine,52.0,44.0,96.0,58.0,30,30,proportional_fill_fd0.75_dispTrue
2021,Dancing With Dingos,58.0,50.0,108.0,27.0,43,43,proportional_fill_fd0.75_dispTrue
2021,Gusteroids,97.0,3.0,100.0,101.0,25,25,proportional_fill_fd0.75_dispTrue
2021,HAMMERHEADS,70.0,14.0,84.0,65.0,25,25,proportional_fill_fd0.75_dispTrue
2021,Kerry & Mitch,52.0,0.0,52.0,54.0,40,40,proportional_fill_fd0.75_dispTrue
2021,Livn Lex,42.0,86.0,128.0,54.0,31,31,proportional_fill_fd0.75_dispTrue
2021,Mashers,67.0,36.0,103.0,65.0,35,35,proportional_fill_fd0.75_dispTrue
2021,Mean Machine,42.0,87.0,129.0,68.0,39,39,proportional_fill_fd0.75_dispTrue
2021,R&R,78.0,12.0,90.0,89.0,26,26,proportional_fill_fd0.75_dispTrue
2021,Shoeless Joe's,67.0,50.0,117.0,47.0,22,22,proportional_fill_fd0.75_dispTrue
2021,Shrooms,31.0,-29.0,2.0,21.0,47,47,proportional_fill_fd0.75_dispTrue
2021,Thunder & Lightning,56.0,15.0,71.0,69.0,34,34,proportional_fill_fd0.75_dispTrue
2022,Dancing With Dingos,87.0,1.0,88.0,91.0,5,5,proportional_fill_fd0.75_dispTrue
2022,Gusteroids,68.5,2.0,70.5,81.0,11,11,proportional_fill_fd0.75_dispTrue
2022,HAMMERHEADS,79.5,7.5,87.0,74.0,7,7,proportional_fill_fd0.75_dispTrue
2022,Kerry & Mitch,50.0,4.0,54.0,56.0,6,6,proportional_fill_fd0.75_dispTrue
2022,Livn Lex,49.5,0.0,49.5,42.5,1,1,proportional_fill_fd0.75_dispTrue
2022,Mashers,37.0,12.0,49.0,51.0,7,7,proportional_fill_fd0.75_dispTrue
2022,Mean Machine,74.0,7.0,81.0,75.5,3,3,proportional_fill_fd0.75_dispTrue
2022,R&R,79.5,-23.5,56.0,79.0,9,9,proportional_fill_fd0.75_dispTrue
2022,Shoeless Joe's,26.0,1.0,27.0,26.0,3,3,proportional_fill_fd0.75_dispTrue
2022,Shrooms,72.0,18.5,90.5,59.0,10,10,proportional_fill_fd0.75_dispTrue
2022,Thunder & Lightning,37.0,24.0,61.0,25.0,11,11,proportional_fill_fd0.75_dispTrue
2023,Dancing With Dingos,68.0,54.0,122.0,79.5,23,23,proportional_fill_fd0.75_dispTrue
2023,Gusteroids,65.0,35.0,100.0,71.0,40,40,proportional_fill_fd0.75_dispTrue
2023,HAMMERHEADS,55.0,43.0,98.0,58.0,25,25,proportional_fill_fd0.75_dispTrue
2023,Kerry & Mitch,31.0,74.0,105.0,72.0,34,34,proportional_fill_fd0.75_dispTrue
2023,Livn Lex,34.0,104.0,138.0,33.0,26,26,proportional_fill_fd0.75_dispTrue
2023,Mean Machine,72.0,-3.0,69.0,66.5,35,35,proportional_fill_fd0.75_dispTrue
2023,On a Bender,72.0,13.0,85.0,59.0,37,37,proportional_fill_fd0.75_dispTrue
2023,R&R,56.0,23.0,79.0,48.0,43,43,proportional_fill_fd0.75_dispTrue
2023,Shrooms,52.0,-19.0,33.0,29.0,39,39,proportional_fill_fd0.75_dispTrue
2023,Thunder & Lightning,45.0,116.0,161.0,34.0,37,37,proportional_fill_fd0.75_dispTrue
2024,Ayal Feinberg,44.0,49.0,93.0,16.0,26,26,proportional_fill_fd0.75_dispTrue
2024,Dancing With Dingos,70.0,13.0,83.0,77.0,19,19,proportional_fill_fd0.75_dispTrue
2024,Gusteroids,77.0,-22.0,55.0,73.5,33,33,proportional_fill_fd0.75_dispTrue
2024,HAMMERHEADS,55.0,38.0,93.0,41.0,30,30,proportional_fill_fd0.75_dispTrue
2024,Kerry & Mitch,75.0,1.0,76.0,81.5,28,28,proportional_fill_fd0.75_dispTrue
2024,Mean Machine,50.0,75.0,125.0,55.5,27,27,proportional_fill_fd0.75_dispTrue
2024,On a Bender,34.0,96.0,130.0,57.5,29,29,proportional_fill_fd0.75_dispTrue
2024,R&R,27.0,40.0,67.0,34.0,35,35,proportional_fill_fd0.75_dispTrue
2024,Shrooms,63.0,56.0,119.0,36.0,33,33,proportional_fill_fd0.75_dispTrue
2024,Thunder & Lightning,55.0,38.0,93.0,78.0,35,35,proportional_fill_fd0.75_dispTrue
2025,Dancing With Dingos,62.0,5.0,67.0,66.0,21,21,proportional_fill_fd0.75_dispTrue
2025,Gusteroids,33.0,134.0,167.0,22.0,43,43,proportional_fill_fd0.75_dispTrue
2025,HAMMERHEADS,37.0,9.0,46.0,69.5,26,26,proportional_fill_fd0.75_dispTrue
2025,Kerry & Mitch,46.0,83.0,129.0,56.5,37,37,proportional_fill_fd0.75_dispTrue
2025,Kosher Hogs,54.0,10.0,64.0,51.0,24,24,proportional_fill_fd0.75_dispTrue
2025,Mean Machine,59.0,2.0,61.0,65.5,34,34,proportional_fill_fd0.75_dispTrue
2025,On a Bender,49.0,75.0,124.0,25.0,41,41,proportional_fill_fd0.75_dispTrue
2025,R&R,75.0,33.0,108.0,76.0,28,28,proportional_fill_fd0.75_dispTrue
2025,Shrooms,48.0,92.0,140.0,42.5,44,44,proportional_fill_fd0.75_dispTrue
2025,Thunder & Lightning,87.0,62.0,149.0,76.0,39,39,proportional_fill_fd0.75_dispTrue
2019,Boppers,62.0,49.0,111.0,47.0,29,29,proportional_fill_fd0.75_dispFalse
2019,Dancing With Dingos,72.0,20.0,92.0,65.5,22,22,proportional_fill_fd0.75_dispFalse
2019,Gusteroids,73.0,71.0,144.0,89.5,26,26,proportional_fill_fd0.75_dispFalse
2019,HAMMERHEADS,62.0,96.0,158.0,69.5,23,23,proportional_fill_fd0.75_dispFalse
2019,Kerry & Mitch,67.0,92.0,159.0,31.5,32,32,proportional_fill_fd0.75_dispFalse
2019,Livn Lex,27.0,220.0,247.0,49.0,33,33,proportional_fill_fd0.75_dispFalse
2019,Mashers,67.0,21.0,88.0,45.0,26,26,proportional_fill_fd0.75_dispFalse
2019,R&R,55.0,112.0,167.0,50.5,34,34,proportional_fill_fd0.75_dispFalse
2019,Shrooms,60.0,34.0,94.0,63.0,25,25,proportional_fill_fd0.75_dispFalse
2019,Thunder & Lightning,63.0,75.0,138.0,69.5,21,21,proportional_fill_fd0.75_dispFalse
2019,mean machine,52.0,74.0,126.0,58.0,30,30,proportional_fill_fd0.75_dispFalse
2021,Dancing With Dingos,58.0,59.0,117.0,27.0,43,43,proportional_fill_fd0.75_dispFalse
2021,Gusteroids,97.0,7.0,104.0,101.0,25,25,proportional_fill_fd0.75_dispFalse
2021,HAMMERHEADS,70.0,36.0,106.0,65.0,25,25,proportional_fill_fd0.75_dispFalse
2021,Kerry & Mitch,52.0,27.0,79.0,54.0,40,40,proportional_fill_fd0.75_dispFalse
2021,Livn Lex,42.0,136.0,178.0,54.0,31,31,proportional_fill_fd0.75_dispFalse
2021,Mashers,67.0,64.0,131.0,65.0,35,35,proportional_fill_fd0.75_dispFalse
2021,Mean Machine,42.0,116.0,158.0,68.0,39,39,proportional_fill_fd0.75_dispFalse
2021,R&R,78.0,41.0,119.0,89.0,26,26,proportional_fill_fd0.75_dispFalse
2021,Shoeless Joe's,67.0,61.0,128.0,47.0,22,22,proportional_fill_fd0.75_dispFalse
2021,Shrooms,31.0,-12.0,19.0,21.0,47,47,proportional_fill_fd0.75_dispFalse
2021,Thunder & Lightning,56.0,63.0,119.0,69.0,34,34,proportional_fill_fd0.75_dispFalse
2022,Dancing With Dingos,87.0,1.0,88.0,91.0,5,5,proportional_fill_fd0.75_dispFalse
2022,Gusteroids,68.5,5.5,74.0,81.0,11,11,proportional_fill_fd0.75_dispFalse
2022,HAMMERHEADS,79.5,10.5,90.0,74.0,7,7,proportional_fill_fd0.75_dispFalse
2022,Kerry & Mitch,50.0,4.0,54.0,56.0,6,6,proportional_fill_fd0.75_dispFalse
2022,Livn Lex,49.5,1.0,50.5,42.5,1,1,proportional_fill_fd0.75_dispFalse
2022,Mashers,37.0,13.0,50.0,51.0,7,7,proportional_fill_fd0.75_dispFalse
2022,Mean Machine,74.0,7.0,81.0,75.5,3,3,proportional_fill_fd0.75_dispFalse
2022,R&R,79.5,-10.5,69.0,79.0,9,9,proportional_fill_fd0.75_dispFalse
2022,Shoeless Joe's,26.0,1.0,27.0,26.0,3,3,proportional_fill_fd0.75_dispFalse
2022,Shrooms,72.0,18.5,90.5,59.0,10,10,proportional_fill_fd0.75_dispFalse
2022,Thunder & Lightning,37.0,27.0,64.0,25.0,11,11,proportional_fill_fd0.75_dispFalse
2023,Dancing With Dingos,68.0,61.0,129.0,79.5,23,23,proportional_fill_fd0.75_dispFalse
2023,Gusteroids,65.0,79.0,144.0,71.0,40,40,proportional_fill_fd0.75_dispFalse
2023,HAMMERHEADS,55.0,55.0,110.0,58.0,25,25,proportional_fill_fd0.75_dispFalse
2023,Kerry & Mitch,31.0,91.0,122.0,72.0,34,34,proportional_fill_fd0.75_dispFalse
2023,Livn Lex,34.0,131.0,165.0,33.0,26,26,proportional_fill_fd0.75_dispFalse
2023,Mean Machine,72.0,9.0,81.0,66.5,35,35,proportional_fill_fd0.75_dispFalse
2023,On a Bender,72.0,31.0,103.0,59.0,37,37,proportional_fill_fd0.75_dispFalse
2023,R&R,56.0,58.0,114.0,48.0,43,43,proportional_fill_fd0.75_dispFalse
2023,Shrooms,52.0,30.0,82.0,29.0,39,39,proportional_fill_fd0.75_dispFalse
2023,Thunder & Lightning,45.0,132.0,177.0,34.0,37,37,proportional_fill_fd0.75_dispFalse
2024,Ayal Feinberg,44.0,57.0,101.0,16.0,26,26,proportional_fill_fd0.75_dispFalse
2024,Dancing With Dingos,70.0,38.0,108.0,77.0,19,19,proportional_fill_fd0.75_dispFalse
2024,Gusteroids,77.0,11.0,88.0,73.5,33,33,proportional_fill_fd0.75_dispFalse
2024,HAMMERHEADS,55.0,71.0,126.0,41.0,30,30,proportional_fill_fd0.75_dispFalse
2024,Kerry & Mitch,75.0,17.0,92.0,81.5,28,28,proportional_fill_fd0.75_dispFalse
2024,Mean Machine,50.0,94.0,144.0,55.5,27,27,proportional_fill_fd0.75_dispFalse
2024,On a Bender,34.0,120.0,154.0,57.5,29,29,proportional_fill_fd0.75_dispFalse
2024,R&R,27.0,59.0,86.0,34.0,35,35,proportional_fill_fd0.75_dispFalse
2024,Shrooms,63.0,68.0,131.0,36.0,33,33,proportional_fill_fd0.75_dispFalse
2024,Thunder & Lightning,55.0,70.0,125.0,78.0,35,35,proportional_fill_fd0.75_dispFalse
2025,Dancing With Dingos,62.0,16.0,78.0,66.0,21,21,proportional_fill_fd0.75_dispFalse
2025,Gusteroids,33.0,147.0,180.0,22.0,43,43,proportional_fill_fd0.75_dispFalse
2025,HAMMERHEADS,37.0,83.0,120.0,69.5,26,26,proportional_fill_fd0.75_dispFalse
2025,Kerry & Mitch,46.0,99.0,145.0,56.5,37,37,proportional_fill_fd0.75_dispFalse
2025,Kosher Hogs,54.0,28.0,82.0,51.0,24,24,proportional_fill_fd0.75_dispFalse
2025,Mean Machine,59.0,45.0,104.0,65.5,34,34,proportional_fill_fd0.75_dispFalse
2025,On a Bender,49.0,104.0,153.0,25.0,41,41,proportional_fill_fd0.75_dispFalse
2025,R&R,75.0,55.0,130.0,76.0,28,28,proportional_fill_fd0.75_dispFalse
2025,Shrooms,48.0,119.0,167.0,42.5,44,44,proportional_fill_fd0.75_dispFalse
2025,Thunder & Lightning,87.0,79.0,166.0,76.0,39,39,proportional_fill_fd0.75_dispFalse
2019,Boppers,64.0,15.0,79.0,47.0,29,29,proportional_fill_fd1.0_dispTrue
2019,Dancing With Dingos,72.0,3.0,75.0,65.5,22,22,proportional_fill_fd1.0_dispTrue
2019,Gusteroids,71.0,57.0,128.0,89.5,26,26,proportional_fill_fd1.0_dispTrue
2019,HAMMERHEADS,67.0,3.0,70.0,69.5,23,23,proportional_fill_fd1.0_dispTrue
2019,Kerry & Mitch,65.0,87.0,152.0,31.5,32,32,proportional_fill_fd1.0_dispTrue
2019,Livn Lex,34.0,107.0,141.0,49.0,33,33,proportional_fill_fd1.0_dispTrue
2019,Mashers,64.0,20.0,84.0,45.0,26,26,proportional_fill_fd1.0_dispTrue
2019,R&R,58.0,57.0,115.0,50.5,34,34,proportional_fill_fd1.0_dispTrue
2019,Shrooms,58.0,10.0,68.0,63.0,25,25,proportional_fill_fd1.0_dispTrue
2019,Thunder & Lightning,58.0,93.0,151.0,69.5,21,21,proportional_fill_fd1.0_dispTrue
2019,mean machine,49.0,40.0,89.0,58.0,30,30,proportional_fill_fd1.0_dispTrue
2021,Dancing With Dingos,61.0,34.0,95.0,27.0,43,43,proportional_fill_fd1.0_dispTrue
2021,Gusteroids,98.0,-16.0,82.0,101.0,25,25,proportional_fill_fd1.0_dispTrue
2021,HAMMERHEADS,70.0,9.0,79.0,65.0,25,25,proportional_fill_fd1.0_dispTrue
2021,Kerry & Mitch,51.0,15.0,66.0,54.0,40,40,proportional_fill_fd1.0_dispTrue
2021,Livn Lex,46.0,62.0,108.0,54.0,31,31,proportional_fill_fd1.0_dispTrue
2021,Mashers,65.0,58.0,123.0,65.0,35,35,proportional_fill_fd1.0_dispTrue
2021,Mean Machine,41.0,83.0,124.0,68.0,39,39,proportional_fill_fd1.0_dispTrue
2021,R&R,78.0,15.0,93.0,89.0,26,26,proportional_fill_fd1.0_dispTrue
2021,Shoeless Joe's,68.0,6.0,74.0,47.0,22,22,proportional_fill_fd1.0_dispTrue
2021,Shrooms,31.0,-9.0,22.0,21.0,47,47,proportional_fill_fd1.0_dispTrue
2021,Thunder & Lightning,51.0,59.0,110.0,69.0,34,34,proportional_fill_fd1.0_dispTrue
2022,Dancing With Dingos,84.0,4.0,88.0,91.0,5,5,proportional_fill_fd1.0_dispTrue
2022,Gusteroids,65.5,5.0,70.5,81.0,11,11,proportional_fill_fd1.0_dispTrue
2022,HAMMERHEADS,84.5,-7.5,77.0,74.0,7,7,proportional_fill_fd1.0_dispTrue
2022,Kerry & Mitch,48.0,3.0,51.0,56.0,6,6,proportional_fill_fd1.0_dispTrue
